,movieId,userId,weight
50,100,198,0.5574311645819013
40,1463,198,0.29493904720475367
51,179,198,0.2772253317803892
52,498,198,0.25946698076235464
53,135,198,0.15951286438892218
35,814,11,0.18283268720854307
92,83,11,0.11145070703977748
36,1463,11,0.033691568682727664
102,318,11,-0.08621817587023062
37,1536,11,-0.35914099836919544
95,64,314,1.5743868009023176
105,121,314,1.4262928957902465
115,692,314,1.4214161846434057
15,1554,314,1.2135188647595299
125,282,314,1.183768437305757
62,98,184,1.5077108982017415
63,191,184,1.1248945950884146
64,187,184,1.1081009502194465
94,488,184,0.7335546040116101
45,1536,184,0.6723272938412225
67,98,163,-0.7592321839761965
68,318,163,-0.8484563687772687
69,64,163,-0.9985784373501608
5,1554,163,-1.1483077249795361
96,316,163,-1.2787323363294798
70,50,710,1.5528786124982592
71,197,710,1.0440643594347108
30,1463,710,0.9201883911454224
31,1643,710,0.8946116123764837
32,1536,710,0.8556606729312726
0,1463,881,0.3124339744929039
1,814,881,0.2234488791161263
100,174,881,0.14652763398473637
110,22,881,0.009157094465896281
120,651,881,-0.06264143076952884
10,814,504,0.7241472782451567
97,318,504,0.697394528876061
107,127,504,0.32599755229795097
11,1463,504,0.2915018162171078
117,735,504,0.24722732686125615
20,1463,267,2.0310576153435056
21,1536,267,1.965525368613649
22,1643,267,1.834015232738614
91,114,267,1.5743868009023176
101,50,267,1.5743868009023176
98,195,653,0.028194749841169292
89,50,653,0.008719883274534894
108,22,653,-0.2810460013391206
90,272,653,-0.6069389878265707
118,174,653,-0.8881450475951321
